# edges.csv
# ID1,ID2,cost
1,2,0.050000
2,3,0.050000
3,4,0.050000
4,5,0.050000
5,6,0.050000
6,7,0.050000
6,8,0.050000
7,9,0.050000
9,10,0.050000
8,11,0.050000
10,12,0.050000
12,13,0.050000
13,14,0.050000
14,15,0.050000
15,16,0.050000
16,17,0.050000
11,18,0.050000
17,19,0.050000
19,20,0.050000
20,21,0.050000
18,22,0.050000
21,23,0.050000
17,24,0.018655
14,25,0.050000
23,26,0.050000
26,27,0.050000
23,28,0.050000
27,29,0.050000
28,30,0.050000
29,31,0.050000
30,32,0.050000
31,33,0.050000
33,34,0.050000
32,35,0.050000
34,36,0.050000
29,37,0.035514
36,38,0.050000
19,39,0.050000
35,40,0.050000
28,41,0.050000
38,42,0.050000
42,43,0.050000
12,44,0.032098
22,45,0.050000
26,46,0.012102
40,47,0.050000
36,48,0.022999
43,49,0.050000
49,50,0.036901
50,51,0.050000
45,52,0.050000
18,53,0.034797
39,54,0.050000
34,55,0.050000
48,56,0.042178
32,57,0.031199
47,58,0.016931
1,59,0.037777
51,60,0.050000
52,61,0.050000
24,62,0.019315
58,63,0.050000
60,64,0.050000
63,65,0.050000
45,66,0.050000
56,67,0.050000
29,68,0.009316
61,69,0.050000
49,70,0.021514
54,71,0.050000
58,72,0.050000
60,73,0.047083
64,74,0.050000
62,75,0.050000
64,76,0.050000
65,77,0.042300
74,78,0.050000
12,79,0.050000
5,80,0.050000
4,81,0.021257
66,82,0.012928
77,83,0.050000
78,84,0.050000
