0.098545,0.000000,-0.016997,-0.017832,-0.133598,-0.103390
0.095857,0.000007,-0.016538,-0.017443,-0.129904,-0.100824
0.093242,0.000016,-0.016092,-0.017071,-0.126314,-0.098312
0.090697,0.000027,-0.015658,-0.016720,-0.122827,-0.095856
0.088221,0.000041,-0.015235,-0.016394,-0.119438,-0.093452
0.085812,0.000059,-0.014825,-0.016100,-0.116145,-0.091102
0.083467,0.000084,-0.014426,-0.015848,-0.112945,-0.088803
0.081186,0.000117,-0.014039,-0.015648,-0.109835,-0.086555
0.078966,0.000163,-0.013664,-0.015509,-0.106812,-0.084356
0.076805,0.000221,-0.013299,-0.015424,-0.103874,-0.082207
0.074702,0.000288,-0.012946,-0.015376,-0.101018,-0.080106
0.072656,0.000359,-0.012604,-0.015357,-0.098241,-0.078053
0.070665,0.000435,-0.012272,-0.015366,-0.095541,-0.076045
0.068726,0.000516,-0.011951,-0.015406,-0.092916,-0.074084
0.066840,0.000602,-0.011640,-0.015477,-0.090364,-0.072166
0.065004,0.000693,-0.011339,-0.015585,-0.087881,-0.070291
0.063216,0.000791,-0.011048,-0.015731,-0.085467,-0.068459
0.061477,0.000897,-0.010768,-0.015920,-0.083119,-0.066667
0.059784,0.001010,-0.010497,-0.016157,-0.080835,-0.064914
0.058136,0.001133,-0.010236,-0.016446,-0.078612,-0.063199
0.056531,0.001266,-0.009985,-0.016793,-0.076450,-0.061520
0.054969,0.001412,-0.009743,-0.017206,-0.074346,-0.059876
0.053449,0.001571,-0.009511,-0.017691,-0.072299,-0.058265
0.051969,0.001745,-0.009289,-0.018256,-0.070306,-0.056685
0.050529,0.001936,-0.009075,-0.018909,-0.068367,-0.055134
0.049127,0.002147,-0.008871,-0.019660,-0.066479,-0.053609
0.047762,0.002378,-0.008676,-0.020517,-0.064641,-0.052108
0.046433,0.002632,-0.008490,-0.021486,-0.062851,-0.050628
0.045140,0.002910,-0.008313,-0.022574,-0.061108,-0.049168
0.043881,0.003213,-0.008144,-0.023785,-0.059411,-0.047726
0.042656,0.003541,-0.007983,-0.025120,-0.057758,-0.046299
0.041463,0.003895,-0.007831,-0.026579,-0.056147,-0.044888
