step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
49,0.490,0.502022,0.015761,0.515983,0.497134,0.000000,0.592495,0.078271,0.7449,0.079343,0,0
50,0.500,0.506482,0.015028,0.516366,0.502900,0.000000,0.592919,0.078096,0.7143,0.079085,0,0
51,0.510,0.521556,0.014531,0.472333,0.508811,0.000000,0.593280,0.122482,0.6851,0.123064,0,0
52,0.520,0.525613,0.013847,0.474813,0.514864,0.000000,0.593573,0.120046,0.6571,0.120593,0,0
53,0.530,0.529886,0.013190,0.477181,0.521057,0.000000,0.593791,0.117685,0.6304,0.118199,0,0
54,0.540,0.534372,0.012560,0.479425,0.527385,0.000000,0.593930,0.115403,0.6048,0.115885,0,0
55,0.550,0.539064,0.011956,0.481532,0.533846,0.000000,0.593984,0.113206,0.5804,0.113658,0,0
56,0.560,0.543958,0.011376,0.483481,0.540436,0.000000,0.593948,0.111107,0.5571,0.111532,0,0
57,0.570,0.549053,0.010820,0.485235,0.547150,0.000000,0.593816,0.109136,0.5348,0.109534,0,0
58,0.580,0.554347,0.010287,0.486720,0.553984,0.000000,0.593583,0.107358,0.5136,0.107732,0,0
59,0.590,0.559889,0.009776,0.487803,0.560934,0.000000,0.593245,0.105899,0.4933,0.106248,0,0
60,0.600,0.565650,0.009284,0.487828,0.567995,0.000000,0.592795,0.105403,0.4739,0.105727,0,0
61,0.610,0.569517,0.008813,0.471308,0.575162,0.000000,0.592229,0.121374,0.4555,0.121634,0,0
62,0.620,0.574556,0.008357,0.471016,0.582429,0.000000,0.591543,0.121073,0.4378,0.121314,0,0
63,0.630,0.578620,0.007915,0.466504,0.589791,0.000000,0.590732,0.124980,0.4209,0.125196,0,0
64,0.640,0.583944,0.007498,0.466112,0.597242,0.000000,0.589791,0.124617,0.4049,0.124817,0,0
65,0.650,0.589588,0.007105,0.465407,0.604775,0.000000,0.588716,0.124444,0.3896,0.124630,0,0
66,0.660,0.595259,0.006722,0.464063,0.612386,0.000000,0.587504,0.124805,0.3750,0.124976,0,0
67,0.670,0.601254,0.006364,0.463342,0.620067,0.000000,0.586151,0.124404,0.3611,0.124563,0,0
68,0.680,0.607681,0.006015,0.463342,0.627811,0.000000,0.584652,0.123116,1.0237,0.124407,0,0
69,0.690,0.614080,0.005678,0.463342,0.635612,0.000000,0.583006,0.121718,1.9622,0.126450,0,0
70,0.700,0.620453,0.005354,0.463342,0.643463,0.000000,0.581210,0.120212,2.9318,0.130661,0,0
71,0.710,0.626803,0.005042,0.463342,0.651357,0.000000,0.579260,0.118597,3.9162,0.136903,0,0
72,0.720,0.633130,0.004743,0.463342,0.659287,0.000000,0.577154,0.116875,4.9118,0.144973,0,0
73,0.730,0.639438,0.004455,0.463342,0.667244,0.000000,0.574892,0.115049,5.9169,0.154636,0,0
74,0.740,0.645726,0.004177,0.463342,0.675223,0.000000,0.572470,0.113121,6.9305,0.165659,0,0
75,0.750,0.651996,0.003911,0.463342,0.683214,0.000000,0.569889,0.111094,7.9518,0.177829,0,0
